"Area"	"Perimeter"	"Radius"	"Circularity"	"Convexity"	"Inertia"	"Graymean"	"Graystd"	"Repimean"	"Repistd"	"Gepimean"	"Gepistd"	"Bepimean"	"Bepistd"	"family.label"
"H1T4OM6_25"	1879	167.195957422256	24.6981780704569	0.844666167154945	0.972064148991205	0.999026064469859	65.9039688110352	0.584400475025177	74.4454879760742	0.099964939057827	67.6578903198242	0.111490853130817	108.626266479492	0.259190708398819	"Lachnospiraceae"
"H1T4OM6_27"	163	48.1421353816986	7.61577310586391	0.883785290009659	0.981927710843373	0.998744163230468	123.828491210938	0.0714876055717468	62.6748161315918	0.0435859896242619	58.0653991699219	0.037915326654911	74.213508605957	0.0647127777338028	"Bifidobacteriaceae"
"H1T4OM6_28"	336.5	70.0416301488876	10.6301458127346	0.861950730346567	0.971139971139971	0.999853766401217	110.142463684082	0.232311517000198	64.5535583496094	0.0928479209542274	59.856861114502	0.107783183455467	91.1015625	0.279333412647247	"Bifidobacteriaceae"
"H1T4OM6_31"	1070.5	129.012192249298	18.6010752377383	0.808230109586975	0.958799820868786	0.999956651658031	95.2732086181641	0.331355661153793	70.595588684082	0.10207898914814	64.8544921875	0.117649517953396	105.652786254883	0.292710602283478	"Bifidobacteriaceae"
"H1T4OM6_33"	572	94.7695519924164	14.2126704035519	0.800328417272903	0.952539550374688	0.999959343882762	92.0266036987305	0.37139755487442	66.7833557128906	0.125669375061989	62.2856521606445	0.118383266031742	101.14134979248	0.292939364910126	"Bifidobacteriaceae"
"H1T4OM6_34"	1226.5	137.982754588127	20.1246117974981	0.809520395885695	0.942736356648732	0.998023137598283	83.1538162231445	0.389935791492462	69.5820770263672	0.114951580762863	64.6566314697266	0.116705000400543	110.078681945801	0.306294441223145	"Ruminococcaceae"
"H1T4OM6_35"	767.5	103.840619564056	15.8113883008419	0.894445136215645	0.980830670926518	0.99997833647452	100.317123413086	0.279402434825897	66.2972793579102	0.086793340742588	60.8424682617188	0.0833278968930244	89.1870880126953	0.234876617789268	"Bifidobacteriaceae"
"H1T4OM6_36"	346	70.2842707633972	10.770329614269	0.880176312392426	0.973277074542897	0.999782052902363	113.217697143555	0.210492417216301	66.5198287963867	0.0732206776738167	60.5717239379883	0.0631059482693672	84.5396957397461	0.170272618532181	"Bacteroidaceae"
"H1T4OM6_37"	1199	129.740114092827	19.7103992634541	0.895118423801218	0.98440065681445	0.999962638818019	88.7004013061523	0.390753149986267	71.6607513427734	0.105956397950649	65.3246917724609	0.100439801812172	102.371543884277	0.279226273298264	"Bifidobacteriaceae"
"H1T4OM6_40"	494	83.1126977205276	12.9031242374328	0.898673746770399	0.983084577114428	0.997527778924472	101.821853637695	0.320331603288651	68.8347549438477	0.1201316639781	63.5889778137207	0.0943427830934525	87.5402374267578	0.20806297659874	"Bifidobacteriaceae"
"H1T4OM6_41"	824	107.254832625389	17	0.90012606288401	0.981536628945801	0.999000393199955	89.6488189697266	0.438643366098404	69.2549133300781	0.112350635230541	63.2802238464355	0.121269501745701	98.8586044311523	0.320068448781967	"Bifidobacteriaceae"
"H1T4OM6_42"	891.5	112.325901031494	16.8069398627852	0.887914993271988	0.97967032967033	0.999983759373723	92.0541305541992	0.384227484464645	71.1338577270508	0.105443552136421	64.5505828857422	0.105310119688511	97.92626953125	0.269085943698883	"Lachnospiraceae"
"H1T4OM6_43"	258	60.9705624580383	8.94427190999916	0.8721459474192	0.979127134724858	0.999510756480585	114.856491088867	0.185704097151756	63.4709014892578	0.0648049935698509	58.3249282836914	0.0510850101709366	76.6024627685547	0.112379774451256	"Bacteroidaceae"
"H1T4OM6_44"	377	73.4558436870575	11.3137084989848	0.878008078266079	0.977950713359274	0.944490770531417	109.368072509766	0.249259114265442	62.2882881164551	0.101871386170387	58.4922256469727	0.085688441991806	87.2317733764648	0.223780736327171	"Lachnospiraceae"
"H1T4OM6_45"	922	114.083260297775	17.1463290123602	0.890219159371348	0.981895633652822	0.999610000305167	88.2515258789062	0.402895271778107	70.6580505371094	0.110188044607639	65.1084747314453	0.109926447272301	104.070709228516	0.290878683328629	"Bifidobacteriaceae"
"H1T4OM6_46"	68	31.6568541526794	5.19258240356725	0.852674481866612	0.992700729927007	0.997099850053075	132.330352783203	0.0555788353085518	61.1900825500488	0.0407483465969563	56.354362487793	0.0352101698517799	72.3352966308594	0.0414513759315014	"Bifidobacteriaceae"
"H1T4OM6_55"	794.5	109.840619564056	16.6433169770932	0.827518702190716	0.952067106051528	0.999980318805175	91.0263442993164	0.364947140216827	69.3449859619141	0.103070311248302	62.6050987243652	0.0990264117717743	97.944221496582	0.271612793207169	"Bifidobacteriaceae"
"H1T4OM6_57"	336.5	76.5269110202789	10.6301458127346	0.722048824815273	0.904569892473118	0.999323961548348	113.172676086426	0.201718121767044	65.3021621704102	0.07442956417799	60.0206146240234	0.0510217770934105	85.1896591186523	0.153129234910011	"Bacteroidaceae"
"H1T4OM6_58"	1407	161.882249474525	21.2209798497344	0.674691906167331	0.909208400646204	0.99999023149331	94.832405090332	0.317764490842819	68.8656539916992	0.0963899418711662	63.2015151977539	0.0987778306007385	95.6131134033203	0.262584507465363	"Bacteroidaceae"
"H1T4OM6_59"	1029.5	132.325900912285	18.3575597506858	0.738833359044924	0.93294064340734	0.999982284841187	92.491813659668	0.363524317741394	69.8271865844727	0.111587606370449	63.9003944396973	0.107637286186218	98.6127014160156	0.301064789295197	"Bacteroidaceae"
